CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
hoa_t0.1.desc;You enter the cursed halls of Shadowfang Keep. The air reeks of death and dark magic. Spectral worgen howl in the shadows as Baron Silverlaine's undead servants patrol the corridors. Your champions ready their weapons.;Vous penetrez dans les salles maudites de Shadowfang Keep. L'air empeste la mort et la magie noire. Des worgens spectraux hurlent dans les ombres tandis que les serviteurs morts-vivants du Baron Silverlaine patrouillent les couloirs.;Ihr betretet die verfluchten Hallen von Shadowfang Keep. Spektrale Worgen heulen in den Schatten.;;Entras en los pasillos malditos de Shadowfang Keep. Worgens espectrales aullan en las sombras.;;;;;;;;;x
hoa_t0.1.a;We cut through the undead! Push deeper into the keep!;Nous fendons les morts-vivants ! Avancez plus loin dans le donjon !;Wir kampfen uns durch! Weiter voran!;;Cortamos a los muertos vivientes! Avancemos!;;;;;;;;;x
hoa_t0.1.b;The spectral worgen overwhelm us! We must retreat!;Les worgens spectraux nous submergent ! Il faut battre en retraite !;Die Worgen uberwaltigen uns! Ruckzug!;;Los worgens espectrales nos superan! Retirada!;;;;;;;;;x
hoa_t0.1.c;This place is too dangerous. Pull back.;Cet endroit est trop dangereux. On se replie.;Zu gefahrlich. Ruckzug.;;Este lugar es muy peligroso. Retirada.;;;;;;;;;x
hoa_t0.2.desc;Commander Springvale blocks your path, his ghostly blade glowing with unholy light. The cursed paladin stands between you and the inner chambers of the keep. Behind him, Lord Godfrey waits.;Le Commandant Springvale bloque votre chemin, sa lame spectrale brillant d'une lumiere impie. Le paladin maudit se dresse entre vous et les chambres interieures du donjon.;Kommandant Springvale versperrt den Weg. Sein Geisterschwert glimmt unheilig.;;El Comandante Springvale bloquea tu camino con su espada espectral.;;;;;;;;;x
hoa_t0.2.a;Springvale falls! We press on to Lord Godfrey!;Springvale tombe ! On avance vers Lord Godfrey !;Springvale fallt! Weiter zu Lord Godfrey!;;Springvale cae! Avanzamos hacia Lord Godfrey!;;;;;;;;;x
hoa_t0.2.b;Springvale's dark magic is too powerful. We retreat wounded.;La magie noire de Springvale est trop puissante. On bat en retraite, blesses.;Springvales dunkle Magie ist zu stark. Ruckzug.;;La magia oscura de Springvale es muy poderosa. Nos retiramos heridos.;;;;;;;;;x
hoa_t0.2.c;We've fought enough. Take what loot we have and leave.;On a assez combattu. Prenons le butin et partons.;Genug gekampft. Nehmt die Beute und geht.;;Hemos luchado suficiente. Tomemos el botin y vamonos.;;;;;;;;;x
hoa_t0.3.desc;Lord Godfrey stands at the top of the keep, his pistols drawn. The traitor of Gilneas sneers at your approach. "You dare challenge me? I who brought down Sylvanas herself?" His worgen allies snarl behind him. This is the final battle.;Lord Godfrey se tient au sommet du donjon, pistolets tires. Le traitre de Gilneas ricane a votre approche. "Vous osez me defier ? Moi qui ai fait tomber Sylvanas elle-meme ?" Ses allies worgen grondent derriere lui.;Lord Godfrey steht am Ende der Festung. "Ihr wagt es, mich herauszufordern?";;Lord Godfrey espera en lo alto. "¿Osais desafiarme a mi?";;;;;;;;;x
hoa_t0.3.a;Godfrey is dead! Shadowfang Keep is cleansed! The curse is broken!;Godfrey est mort ! Shadowfang Keep est purifie ! La malediction est brisee !;Godfrey ist tot! Shadowfang Keep ist gereinigt!;;Godfrey ha muerto! Shadowfang Keep esta purificado!;;;;;;;;;x
hoa_t0.3.b;Godfrey's cursed bullets find their mark. We fall back, defeated.;Les balles maudites de Godfrey font mouche. Nous battons en retraite, vaincus.;Godfreys verfluchte Kugeln treffen. Niederlage.;;Las balas malditas de Godfrey dan en el blanco. Derrota.;;;;;;;;;x
hoa_t0.10.desc;The Scarlet Monastery looms before you, its crimson banners fluttering in the wind. The Scarlet Crusade, fanatical in their hatred of the undead, will show no mercy to trespassers. You enter through the Graveyard wing, where restless spirits wander.;Le Monastere Ecarlate se dresse devant vous, ses bannieres cramoisies flottant au vent. La Croisade Ecarlate, fanatique dans sa haine des morts-vivants, ne montrera aucune pitie aux intrus.;Das Scharlachrote Kloster erhebt sich vor euch. Die fanatische Croisade zeigt keine Gnade.;;El Monasterio Escarlata se alza ante ti. La Cruzada Escarlata no muestra piedad.;;;;;;;;;x
hoa_t0.10.a;The Graveyard is cleared! Push into the Cathedral!;Le Cimetiere est nettoye ! Avancez vers la Cathedrale !;Der Friedhof ist gesaubert! Weiter zur Kathedrale!;;El Cementerio esta limpio! Avancemos a la Catedral!;;;;;;;;;x
hoa_t0.10.b;The Scarlet fanatics are too zealous. We retreat bloodied.;Les fanatiques ecarlates sont trop zelotes. On bat en retraite, ensanglantes.;Die Fanatiker sind zu eifrig. Ruckzug.;;Los fanaticos escarlatas son demasiado celosos. Nos retiramos.;;;;;;;;;x
